model,hyperparameters,preprocessor,postprocessor,UnifiedMetricLibrary (disparate_impact),UnifiedMetricLibrary (equal_opportunity_difference),UnifiedMetricLibrary (accuracy_score),UnifiedMetricLibrary (statistical_parity_difference),UnifiedMetricLibrary (average_odds_difference)
LogisticRegression,'Default (see sklearn docs)',DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.7757346623131123,0.0,0.7763371150729336,0.13940818288644374,0.0
LogisticRegression,'Default (see sklearn docs)',DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.7757346623131123,0.0,0.7763371150729336,0.13940818288644374,0.0
LogisticRegression,'Default (see sklearn docs)',DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.7757346623131123,0.0,0.7763371150729336,0.13940818288644374,0.0
LogisticRegression,'Default (see sklearn docs)',DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.7757346623131123,0.0,0.7763371150729336,0.13940818288644374,0.0
LogisticRegression,'Default (see sklearn docs)',DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.7757346623131123,0.0,0.7763371150729336,0.13940818288644374,0.0
LogisticRegression,'Default (see sklearn docs)',DisparateImpactRemover,None,0.6406926406926406,0.17738774055595152,0.6763911399243652,0.3058968058968059,0.27953356493446435
LogisticRegression,'Default (see sklearn docs)',DisparateImpactRemover,None,0.6406926406926406,0.17738774055595152,0.6763911399243652,0.3058968058968059,0.27953356493446435
LogisticRegression,'Default (see sklearn docs)',DisparateImpactRemover,None,0.6406926406926406,0.17738774055595152,0.6763911399243652,0.3058968058968059,0.27953356493446435
LogisticRegression,'Default (see sklearn docs)',DisparateImpactRemover,None,0.6406926406926406,0.17738774055595152,0.6763911399243652,0.3058968058968059,0.27953356493446435
LogisticRegression,'Default (see sklearn docs)',DisparateImpactRemover,None,0.6406926406926406,0.17738774055595152,0.6763911399243652,0.3058968058968059,0.27953356493446435
LogisticRegression,'Default (see sklearn docs)',None,CalibratedEqOddsPostprocessing,0.7757346623131123,0.0,0.7763371150729336,0.13940818288644374,0.0
LogisticRegression,'Default (see sklearn docs)',None,CalibratedEqOddsPostprocessing,0.7757346623131123,0.0,0.7763371150729336,0.13940818288644374,0.0
LogisticRegression,'Default (see sklearn docs)',None,CalibratedEqOddsPostprocessing,0.7757346623131123,0.0,0.7763371150729336,0.13940818288644374,0.0
LogisticRegression,'Default (see sklearn docs)',None,CalibratedEqOddsPostprocessing,0.7757346623131123,0.0,0.7763371150729336,0.13940818288644374,0.0
LogisticRegression,'Default (see sklearn docs)',None,CalibratedEqOddsPostprocessing,0.7757346623131123,0.0,0.7763371150729336,0.13940818288644374,0.0
LogisticRegression,'Default (see sklearn docs)',None,None,0.5642525909557747,0.21507483962936558,0.6720691518098325,0.37391838478795003,0.3566513783752062
LogisticRegression,'Default (see sklearn docs)',None,None,0.5642525909557747,0.21507483962936558,0.6720691518098325,0.37391838478795003,0.3566513783752062
LogisticRegression,'Default (see sklearn docs)',None,None,0.5642525909557747,0.21507483962936558,0.6720691518098325,0.37391838478795003,0.3566513783752062
LogisticRegression,'Default (see sklearn docs)',None,None,0.5642525909557747,0.21507483962936558,0.6720691518098325,0.37391838478795003,0.3566513783752062
LogisticRegression,'Default (see sklearn docs)',None,None,0.5642525909557747,0.21507483962936558,0.6720691518098325,0.37391838478795003,0.3566513783752062
